Date,DayOfWeek,Holiday
2010-02-15,MON,President Day
2010-04-02,FRI,Good Friday
2010-05-31,MON,Memorial Day
2010-07-05,MON,Independence Day
2010-09-06,MON,Labor Day
2010-11-25,THU,Thanksgiving
2010-12-24,FRI,Christmas
2010-12-31,FRI,New Year
2011-01-17,MON,Martin Luther King Jr. Day
2011-02-21,MON,President Day
2011-04-22,FRI,Good Friday
2011-05-30,MON,Memorial Day
2011-07-04,MON,Independence Day
2011-09-05,MON,Labor Day
2011-11-24,THU,Thanksgiving
2011-12-26,MON,Christmas
2012-01-02,MON,New Year
2012-01-16,MON,Martin Luther King Jr. Day
2012-02-20,MON,President Day
2012-04-06,FRI,Good Friday
2012-05-28,MON,Memorial Day
2012-07-04,WED,Independence Day
2012-09-03,MON,Labor Day
2012-11-22,THU,Thanksgiving
2012-12-25,TUE,Christmas
2013-01-01,TUE,New Year
2013-01-21,MON,Martin Luther King Jr. Day
2013-02-18,MON,President Day
2013-03-29,FRI,Good Friday
2013-05-27,MON,Memorial Day
2013-07-04,THU,Independence Day
2013-09-02,MON,Labor Day
2013-11-28,THU,Thanksgiving
2013-12-25,WED,Christmas
2014-01-01,WED,New Year
2014-01-20,MON,Martin Luther King Jr. Day
2014-02-17,MON,President Day
2014-04-18,FRI,Good Friday
2014-05-26,MON,Memorial Day
2014-07-04,FRI,Independence Day
2014-09-01,MON,Labor Day
2014-11-27,THU,Thanksgiving
2014-12-25,THU,Christmas
2015-01-01,THU,New Year
2015-01-19,MON,Martin Luther King Jr. Day
2015-02-16,MON,President Day
2015-04-03,FRI,Good Friday
2015-05-25,MON,Memorial Day
2015-07-03,FRI,Independence Day
2015-09-07,MON,Labor Day
2015-11-26,THU,Thanksgiving
2015-12-25,FRI,Christmas
2016-01-01,FRI,New Year
2016-01-18,MON,Martin Luther King Jr. Day
2016-02-15,MON,President Day
2016-03-25,FRI,Good Friday
2016-05-30,MON,Memorial Day
2016-07-04,MON,Independence Day
2016-09-05,MON,Labor Day
2016-11-24,THU,Thanksgiving
2016-12-26,MON,Christmas
2017-01-02,MON,New Year
2017-01-16,MON,Martin Luther King Jr. Day
2017-02-20,MON,President Day
2017-04-14,FRI,Good Friday
2017-05-29,MON,Memorial Day
2017-07-04,TUE,Independence Day
2017-09-04,MON,Labor Day
2017-11-23,THU,Thanksgiving
2017-12-25,MON,Christmas
2018-01-01,MON,New Year
2018-01-15,MON,Martin Luther King Jr. Day
2018-02-19,MON,President Day
2018-03-30,FRI,Good Friday
2018-05-28,MON,Memorial Day
2018-07-04,WED,Independence Day
2018-09-03,MON,Labor Day
2018-11-22,THU,Thanksgiving
2018-12-25,TUE,Christmas
2019-01-01,TUE,New Year
2019-01-21,MON,Martin Luther King Jr. Day
2019-02-18,MON,President Day
2019-04-19,FRI,Good Friday
2019-05-27,MON,Memorial Day
2019-07-04,THU,Independence Day
2019-09-02,MON,Labor Day
2019-11-28,THU,Thanksgiving
2019-12-25,WED,Christmas
2020-01-01,WED,New Year
2020-01-20,MON,Martin Luther King Jr. Day
2020-02-17,MON,President Day
2020-04-10,FRI,Good Friday
2020-05-25,MON,Memorial Day
2020-07-03,FRI,Independence Day
2020-09-07,MON,Labor Day
2020-11-26,THU,Thanksgiving
2020-12-25,FRI,Christmas
2021-01-01,FRI,New Year
2021-01-18,MON,Martin Luther King Jr. Day
2021-02-15,MON,President Day
2021-04-02,FRI,Good Friday
2021-05-31,MON,Memorial Day
2021-07-05,MON,Independence Day
2021-09-06,MON,Labor Day
2021-11-25,THU,Thanksgiving
2021-12-24,FRI,Christmas
2021-12-31,FRI,New Year
2022-01-17,MON,Martin Luther King Jr. Day
2022-02-21,MON,President Day
2022-04-15,FRI,Good Friday
2022-05-30,MON,Memorial Day
2022-06-20,MON,Juneteenth National Independence Day
2022-07-04,MON,Independence Day
2022-09-05,MON,Labor Day
2022-11-24,THU,Thanksgiving
2022-12-26,MON,Christmas
2023-01-02,MON,New Year
2023-01-16,MON,Martin Luther King Jr. Day
2023-02-20,MON,President Day
2023-04-07,FRI,Good Friday
2023-05-29,MON,Memorial Day
2023-06-19,MON,Juneteenth National Independence Day
2023-07-04,TUE,Independence Day
2023-09-04,MON,Labor Day
2023-11-23,THU,Thanksgiving
2023-12-25,MON,Christmas
2024-01-01,MON,New Year
2024-01-15,MON,Martin Luther King Jr. Day
2024-02-19,MON,President Day
2024-03-29,FRI,Good Friday
2024-05-27,MON,Memorial Day
2024-06-19,WED,Juneteenth National Independence Day
2024-07-04,THU,Independence Day
2024-09-02,MON,Labor Day
2024-11-28,THU,Thanksgiving
2024-12-25,WED,Christmas
2025-01-01,WED,New Year
2025-01-20,MON,Martin Luther King Jr. Day
2025-02-17,MON,President Day
2025-04-18,FRI,Good Friday
2025-05-26,MON,Memorial Day
2025-06-19,THU,Juneteenth National Independence Day
2025-07-04,FRI,Independence Day
2025-09-01,MON,Labor Day
2025-11-27,THU,Thanksgiving
2025-12-25,THU,Christmas
